isSentence,text
,"While we were swimming at the lake, my sister took us a beatiful picture"
,"While we were swimming at the lake, lightning flashed across the sky."
,I felt in love with you while we were swimming at the lake
,Jack rested while we were swimming at the lake
true,"While we were swimming at the lake, a dog appeared."
,Crocodile bite him while we were swimming at the lake
,While we were swimming at the lake Jake thought he saw the Lochness monster.
,"While we were swimming at the lake, I got a sunburn."
,While we were swimming at the lake the phone rang
,"While we were swimming at the lake, some birds flew past."
,"While we were swimming at the lake, he caught me tight."
true,We found a crocodile while we were swimming at the lake.
,It was not raining while we were swimming at the lake.
,While we were swimming at the lake we saw beautiful birds.
,"While we were swimming at the lake, our parents did the cooking of our foods."
,It was hot out while we were swimming at the lake.
,Keep going.
,"While we were swimming at the lake, our parents were busy getting the barbecue ready for later."
,While we were swimming at the lake the sun was really bright.
,"While we were swimming at the lake, we saw a flock of migratory birds."
,"While we were swimming at the lake, we saw some falcons."
,While we were swimming at the lake we saw a giant fish.
,"While we were swimming at the lake, my neighbors arrived."
,"While we were swimming at the lake, we thought of you."
,It started raining while we were swimming at the lake.
,I saw him while we were swimming at the lake.
true,He came while we were swimming at the lake
,"While we were swimming at the lake, we saw a bear."
,I lost my sunglasses while we were swimming at the lake.
,"While we were swimming at the lake, we had a lot of fun."
,While we were swimming at the lake she called.
,While we were swimming at the lake we started eating sandwiches.
,"While we were swimming at the lake,we saw some swans."
,While we were swimming at the lake the rain started.
,"While we were swimming at the lake, the sun was shining brightly in the sky."
,While we were swimming at the lake it started raining.
,"While we were swimming at the lake, it started to rain."
,While we were swimming at the lake we saw fishes.
,While we were swimming at the lake we saw a wild boar searching for truffles by the shore.
,she was crying While we were swimming at the lake
,While we were swimming at the lake we saw an alligator.
,"While we were swimming at the lake, someone yelled at us"
,We were swimming at the lake.
,We were swimming at the lake
,While we were swimming at the lake I had a brilliant idea.
,There was a man at the shore While we were swimming at the lake
,After the football game ended will play cricket.
,While we were swimming at the lake he fainted.
,"While we were swimming at the lake, something weird happened."
,"While we were swimming at the lake, we say a big thing on float."
,"While we were swimming at the lake, my phone rang."
,"I was scared, while we were swimming at the lake"
,"While we were swimming at the lake, he was enjoying the sun bath."
,While we were swimming at the lake little fishing boat passed by.
,"it rained, while we were swimming at the lake."
,While we were swimming at the lake THEY WERE PLAYING
,While we were swimming at the lake we found a snake
,While we were swimming at the lake i saw a Fish.
,"While we were swimming at the lake, we saw a shark."
,While we were swimming in the lake
,While we are swimming in the lake
,While we were swimming at the lake we saw many fish.
,"While we were swimming at the lake, we saw a snake in the water"
,We catch cold while we were swimming at the lake.
,After the football game ended.
,While we were swimming at the lake water is not clean
,"While we were swimming at the lake, it was very cold."
,"While we were swimming at the lake, I saw a peacock."
,While we were swimming at the lake we saw an alligator
,While we were swimming at the lake we had a lot of fun.
,While we were swimming at the lake I got sunburnt.
,"While we were swimming at the lake, we saw an accident."
,While we were swimming at the lake WE SAW A GORILLA
,we were swimming at the lake.
,While we were swimming at the lake we ecountered the Lochness monster and were shocked by how friendly it was.
,Her hair got wet while we were swimming at the lake
,While we were swimming at the lake we saw the helicopter land.
,While we were swimming at the lake the killer watched from the bushes.
,While we swimming were at the lake
,While we are were swimming at the lake
,While we were swimming at the lake women ate
,"While we were swimming at the lake, we found a snake."
,While we were swimming at the lake we saw a kingfisher.
,While we were swimming at the lake we played water polo.
,"While we were swimming at the lake, we were little bit scared."
,It started raining While we were swimming at the lake
true,She listened to music on the ride home.
true,Peter listened to music on the ride home.
true,I listen to music on the ride home.
true,elephants listened to music on the ride home.
true,Monkeys listened to music on the ride home.
true,Monkeys listened to music on the ride home.
true,Donald listened to music on the ride home.
false,Doesn't exist listened to music.
true,Bananas listened to music on the ride home.
true,Apples listened to music on the ride home.
true,Ryan listened to music on the ride home.
true,Courtney listened to music on the ride home.
true,Gustav listened to music on the ride home.
true,Thomas listened to music on the ride home.
true,Panda listened to music on the ride home.
true,Donald listened to music.
true,Apples listened to music on the ride home.
true,Apples listened to music on the rides homes.
true,Nobody listened to music on the ride home.
true,Listen to music on the ride home.
true,John listened to music on the ride home.
true,Jacob listened to music on the ride home.
true,I listened to music on the ride hom.
true,I am listening to music on the ride home.
false,Listening.
false,Listening ot
false,Listening to music on the ride home.
true,I am listneing to music on the ride home.
true,I am listening.
true,I listen to music on the ride home.
true,Donald is listening to music on the ride home.
true,My mom and I were listening to music on the ride home.
true,"Listening to music on the ride home, Sarah enjoyed the drive."
true,You are listening to music on the ride home.
true,I was listening to music on the ride home.
true,We are listening to music on the ride home.
true,I'm listening to music on the ride home.
true,I like listening to music on the ride home.
true,Listening to music on the ride home makes me happy.
false,Listening to music on the ride to home.
false,Listening to the music on the ride home.
false,Listening to music on the way ride home.
true,I was listening to the music on the ride home.
,Listening to music on the ride home...
,He likes listening to music on the ride home.
,I was listening to music on the ride home
true,I am istening to music on the ride home.
,I am listening to music on the ride to home.
true,I am Listening to music on the ride home.
,"I was listening to music, on the ride home."
,She was listening to music on the ride home.
true,I'm Listening to music on the ride home.
true,i was listening to music on the ride home.
,Listening to music while on ride to home.
,Listening to music at home.
,Listening to music on the ride home keajnflkjwenflkjanwe.
,I felt relaxed while listening to music on the ride home.
,listening to music on the ride home
,Listening to music on the ride home is quite calming.
,Listening to music while riding to home.
true,I was Listening to music on the ride home.
,Listening to music on the way to home.
,Listening to music while riding home.
,Listening to music on my way home.
,"Listening to music on the ride home, I felt good and relaxed."
,Listening to music on the way home.
,Listening to music on a ride to home.
,He is listening to music on the ride home.
,IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII amamamamamam Listening to music on the ride home.I am listening to music on the ride home.
,"Listening to music, on the home ride."
,Listening to music in my car when i drive the car to back my home.
true,I WAS Listening to music on the ride home.
,Listening to music on the home.
,Listening to music on the ride to the home.
